run_id,kind,weight_type,targeting,rng_seed,n,edges,seed_frac,seed_count,theta_mean,theta_sd,max_steps,final_adoption,steps_to_converge,xi_d_1,xi_a_1.5
1,random,uniform,degree,1051,100,285,0.03,3,0.45,0.1,50,0.06,1,0.66,0.7379015253750751
2,random,uniform,degree,2060,100,308,0.03,3,0.45,0.1,50,0.07,3,0.54,0.6732155751542352
3,random,uniform,degree,3069,100,315,0.03,3,0.45,0.1,50,0.04,1,0.66,0.7874886752066107
4,random,uniform,degree,4078,100,295,0.03,3,0.45,0.1,50,0.05,2,0.64,0.7768913870168292
5,random,uniform,degree,5087,100,298,0.03,3,0.45,0.1,50,0.03,0,0.69,0.8160361215605026
6,random,uniform,degree,6096,100,285,0.03,3,0.45,0.1,50,0.03,0,0.7,0.8251626561540535
7,random,uniform,degree,7105,100,306,0.03,3,0.45,0.1,50,0.06,1,0.65,0.7297995130635618
8,random,uniform,degree,8114,100,299,0.03,3,0.45,0.1,50,0.03,0,0.65,0.8140327792387443
9,random,uniform,degree,9123,100,305,0.03,3,0.45,0.1,50,0.05,1,0.63,0.762912159623868
10,random,uniform,degree,10132,100,288,0.03,3,0.45,0.1,50,0.07,2,0.64,0.7211797985146117
11,random,uniform,degree,11141,100,313,0.03,3,0.45,0.1,50,0.05,2,0.59,0.7400724314785223
12,random,uniform,degree,12150,100,299,0.03,3,0.45,0.1,50,0.05,1,0.68,0.7907521693206218
13,random,uniform,degree,13159,100,284,0.03,3,0.45,0.1,50,0.03,0,0.68,0.8156940723419892
14,random,uniform,degree,14168,100,310,0.03,3,0.45,0.1,50,0.04,1,0.63,0.7663961841047059
15,random,uniform,degree,15177,100,305,0.03,3,0.45,0.1,50,0.03,0,0.69,0.8079137264762818
16,random,uniform,degree,16186,100,298,0.03,3,0.45,0.1,50,0.06,3,0.64,0.7413323697875286
17,random,uniform,degree,17195,100,294,0.03,3,0.45,0.1,50,0.05,2,0.61,0.7542667548606962
18,random,uniform,degree,18204,100,281,0.03,3,0.45,0.1,50,0.04,1,0.69,0.8017354210387974
19,random,uniform,degree,19213,100,294,0.03,3,0.45,0.1,50,0.05,1,0.67,0.7713563213369593
20,random,uniform,degree,20222,100,284,0.03,3,0.45,0.1,50,0.05,1,0.71,0.7764864077688771
161,random,uniform,degree,162491,100,308,0.03,3,0.45,0.1,50,0.03,0,0.71,0.8198760609570205
162,random,uniform,degree,163500,100,307,0.03,3,0.45,0.1,50,0.05,1,0.6,0.7441005074444759
163,random,uniform,degree,164509,100,306,0.03,3,0.45,0.1,50,0.05,1,0.62,0.7577113024305392
164,random,uniform,degree,165518,100,310,0.03,3,0.45,0.1,50,0.04,1,0.62,0.7740902275267968
165,random,uniform,degree,166527,100,290,0.03,3,0.45,0.1,50,0.03,0,0.67,0.8262955919941635
166,random,uniform,degree,167536,100,279,0.03,3,0.45,0.1,50,0.05,1,0.71,0.785519719344987
167,random,uniform,degree,168545,100,287,0.03,3,0.45,0.1,50,0.04,1,0.69,0.7949904985599862
168,random,uniform,degree,169554,100,292,0.03,3,0.45,0.1,50,0.04,1,0.64,0.7880897347242182
169,random,uniform,degree,170563,100,305,0.03,3,0.45,0.1,50,0.06,2,0.65,0.7536475671857648
170,random,uniform,degree,171572,100,297,0.03,3,0.45,0.1,50,0.04,1,0.66,0.7961340799697828
171,random,uniform,degree,172581,100,309,0.03,3,0.45,0.1,50,0.04,1,0.66,0.790829595147834
172,random,uniform,degree,173590,100,327,0.03,3,0.45,0.1,50,0.03,0,0.63,0.8035595944456837
173,random,uniform,degree,174599,100,320,0.03,3,0.45,0.1,50,0.04,1,0.62,0.7647490556305159
174,random,uniform,degree,175608,100,293,0.03,3,0.45,0.1,50,0.04,1,0.66,0.8053113610554575
175,random,uniform,degree,176617,100,323,0.03,3,0.45,0.1,50,0.04,1,0.63,0.7635891749472928
176,random,uniform,degree,177626,100,300,0.03,3,0.45,0.1,50,0.05,2,0.66,0.7672631310985172
177,random,uniform,degree,178635,100,317,0.03,3,0.45,0.1,50,0.04,1,0.65,0.7860278547770412
178,random,uniform,degree,179644,100,334,0.03,3,0.45,0.1,50,0.05,1,0.6,0.7256323394829785
179,random,uniform,degree,180653,100,286,0.03,3,0.45,0.1,50,0.04,1,0.7,0.8142982505972318
180,random,uniform,degree,181662,100,327,0.03,3,0.45,0.1,50,0.03,0,0.6,0.7922402489298043
101,random,uniform,degree,101951,100,301,0.03,3,0.45,0.1,50,0.04,1,0.63,0.774307563913811
102,random,uniform,degree,102960,100,291,0.03,3,0.45,0.1,50,0.07,2,0.63,0.7206037551322385
103,random,uniform,degree,103969,100,310,0.03,3,0.45,0.1,50,0.03,0,0.62,0.8048756777744653
104,random,uniform,degree,104978,100,316,0.03,3,0.45,0.1,50,0.04,1,0.68,0.7896171394476721
105,random,uniform,degree,105987,100,292,0.03,3,0.45,0.1,50,0.03,0,0.7,0.8194025163234435
106,random,uniform,degree,106996,100,309,0.03,3,0.45,0.1,50,0.06,1,0.58,0.7030615138327718
