run_id,kind,weight_type,rng_seed,n,edges,seed_frac,seed_count,theta_mean,theta_sd,max_steps,final_adoption,steps_to_converge,xi_1,xi_2,xi_3,xi_inf
8680,small_world,inv_degree,8758162,100,300,0.03,3,0.45,0.1,50,0.08,3,0.7550000000000002,0.27500000000000013,0.004999999999999983,0.0
8681,small_world,inv_degree,8759171,100,300,0.03,3,0.45,0.1,50,0.14,8,0.7450000000000001,0.46500000000000025,0.0900000000000001,0.0
8682,small_world,inv_degree,8760180,100,300,0.03,3,0.45,0.1,50,0.04,1,0.7733333333333333,0.4033333333333332,0.0566666666666667,0.0
8683,small_world,inv_degree,8761189,100,300,0.03,3,0.45,0.1,50,0.03,0,0.775,0.5300000000000002,0.19500000000000028,0.0
8684,small_world,inv_degree,8762198,100,300,0.03,3,0.45,0.1,50,0.03,0,0.8050000000000002,0.4100000000000003,0.09000000000000008,0.0
8685,small_world,inv_degree,8763207,100,300,0.03,3,0.45,0.1,50,0.03,0,0.8200000000000006,0.6100000000000009,0.3200000000000002,0.0
8686,small_world,inv_degree,8764216,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7800000000000001,0.3900000000000003,0.01000000000000002,0.0
8687,small_world,inv_degree,8765225,100,300,0.03,3,0.45,0.1,50,0.06,3,0.7900000000000001,0.5550000000000003,0.24000000000000035,0.0
8688,small_world,inv_degree,8766234,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7933333333333331,0.41999999999999976,0.049999999999999996,0.0
8689,small_world,inv_degree,8767243,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7600000000000003,0.4350000000000005,0.1550000000000002,0.0
8690,small_world,inv_degree,8768252,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7800000000000001,0.44500000000000034,0.18000000000000033,0.0
8691,small_world,inv_degree,8769261,100,300,0.03,3,0.45,0.1,50,0.04,1,0.7400000000000002,0.5200000000000006,0.18000000000000002,0.0
8692,small_world,inv_degree,8770270,100,300,0.03,3,0.45,0.1,50,0.04,1,0.7500000000000004,0.39500000000000013,0.045000000000000026,0.0
8693,small_world,inv_degree,8771279,100,300,0.03,3,0.45,0.1,50,0.03,0,0.8200000000000002,0.6150000000000001,0.3000000000000004,0.0
