run_id,kind,weight_type,rng_seed,n,edges,seed_frac,seed_count,theta_mean,theta_sd,max_steps,alpha,final_adoption,steps_to_converge,xi
138,random,uniform,139284,100,240,0.03,3,0.45,0.1,50,1.5,0.07,2,0.7597691129441992
139,random,uniform,140293,100,274,0.03,3,0.45,0.1,50,1.5,0.03,0,0.8307670548107705
140,random,uniform,141302,100,279,0.03,3,0.45,0.1,50,1.5,0.03,0,0.8143076144777198
141,random,uniform,142311,100,254,0.03,3,0.45,0.1,50,1.5,0.03,0,0.8460603310712048
142,random,uniform,143320,100,257,0.03,3,0.45,0.1,50,1.5,0.07,2,0.7424741848965601
143,random,uniform,144329,100,251,0.03,3,0.45,0.1,50,1.5,0.05,1,0.7749178159345004
144,random,uniform,145338,100,273,0.03,3,0.45,0.1,50,1.5,0.03,0,0.8136084156064272
145,random,uniform,146347,100,259,0.03,3,0.45,0.1,50,1.5,0.05,2,0.786238006680357
146,random,uniform,147356,100,249,0.03,3,0.45,0.1,50,1.5,0.05,1,0.7943153117613762
147,random,uniform,148365,100,248,0.03,3,0.45,0.1,50,1.5,0.03,0,0.8324730794137976
148,random,uniform,149374,100,273,0.03,3,0.45,0.1,50,1.5,0.05,2,0.7816742264277933
149,random,uniform,150383,100,265,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8007282211565818
150,random,uniform,151392,100,261,0.03,3,0.45,0.1,50,1.5,0.03,0,0.826799703498469
151,random,uniform,152401,100,223,0.03,3,0.45,0.1,50,1.5,0.08,1,0.7537341427827117
152,random,uniform,153410,100,254,0.03,3,0.45,0.1,50,1.5,0.06,2,0.7670360717260646
153,random,uniform,154419,100,239,0.03,3,0.45,0.1,50,1.5,0.06,1,0.7696370898337129
154,random,uniform,155428,100,223,0.03,3,0.45,0.1,50,1.5,0.07,2,0.7575503786087394
155,random,uniform,156437,100,248,0.03,3,0.45,0.1,50,1.5,0.07,1,0.7666596932834768
156,random,uniform,157446,100,254,0.03,3,0.45,0.1,50,1.5,0.06,2,0.7592689924067071
157,random,uniform,158455,100,251,0.03,3,0.45,0.1,50,1.5,0.03,0,0.8393505279328459
158,random,uniform,159464,100,260,0.03,3,0.45,0.1,50,1.5,0.07,2,0.7256204789161665
159,random,uniform,160473,100,234,0.03,3,0.45,0.1,50,1.5,0.06,1,0.7698670987529427
160,random,uniform,161482,100,277,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8025480574862496
161,random,uniform,162491,100,265,0.03,3,0.45,0.1,50,1.5,0.06,2,0.7607282149860077
162,random,uniform,163500,100,245,0.03,3,0.45,0.1,50,1.5,0.07,1,0.7278653627913892
163,random,uniform,164509,100,255,0.03,3,0.45,0.1,50,1.5,0.05,1,0.782723458725507
164,random,uniform,165518,100,260,0.03,3,0.45,0.1,50,1.5,0.03,0,0.8285211945379587
165,random,uniform,166527,100,245,0.03,3,0.45,0.1,50,1.5,0.03,0,0.8472896504847056
166,random,uniform,167536,100,220,0.03,3,0.45,0.1,50,1.5,0.05,1,0.8030999157700944
167,random,uniform,168545,100,259,0.03,3,0.45,0.1,50,1.5,0.06,1,0.763414165698941
168,random,uniform,169554,100,246,0.03,3,0.45,0.1,50,1.5,0.06,1,0.7679804095250737
169,random,uniform,170563,100,275,0.03,3,0.45,0.1,50,1.5,0.03,0,0.8239766709634597
170,random,uniform,171572,100,239,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8261969058048624
171,random,uniform,172581,100,252,0.03,3,0.45,0.1,50,1.5,0.05,2,0.7790009222579871
172,random,uniform,173590,100,270,0.03,3,0.45,0.1,50,1.5,0.05,1,0.7685504684499413
173,random,uniform,174599,100,265,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8026845419820772
174,random,uniform,175608,100,241,0.03,3,0.45,0.1,50,1.5,0.13,5,0.6483529441883329
175,random,uniform,176617,100,259,0.03,3,0.45,0.1,50,1.5,0.03,0,0.8312060520425864
176,random,uniform,177626,100,242,0.03,3,0.45,0.1,50,1.5,0.06,1,0.7762577285932853
177,random,uniform,178635,100,225,0.03,3,0.45,0.1,50,1.5,0.06,1,0.7713071130462273
178,random,uniform,179644,100,236,0.03,3,0.45,0.1,50,1.5,0.08,3,0.7256673049360267
179,random,uniform,180653,100,238,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8233438481620631
180,random,uniform,181662,100,241,0.03,3,0.45,0.1,50,1.5,0.07,1,0.7377885682763582
181,random,uniform,182671,100,279,0.03,3,0.45,0.1,50,1.5,0.05,1,0.767891180211655
182,random,uniform,183680,100,239,0.03,3,0.45,0.1,50,1.5,0.09,2,0.7052554969158276
183,random,uniform,184689,100,241,0.03,3,0.45,0.1,50,1.5,0.08,2,0.7388460232640996
184,random,uniform,185698,100,252,0.03,3,0.45,0.1,50,1.5,0.07,2,0.7501219216455745
185,random,uniform,186707,100,212,0.03,3,0.45,0.1,50,1.5,0.07,1,0.7538911931346352
186,random,uniform,187716,100,248,0.03,3,0.45,0.1,50,1.5,0.06,1,0.7799827024563942
187,random,uniform,188725,100,244,0.03,3,0.45,0.1,50,1.5,0.07,2,0.7522909459827959
188,random,uniform,189734,100,233,0.03,3,0.45,0.1,50,1.5,0.08,2,0.7397579506235905
189,random,uniform,190743,100,246,0.03,3,0.45,0.1,50,1.5,0.05,1,0.7903078623118192
190,random,uniform,191752,100,222,0.03,3,0.45,0.1,50,1.5,0.09,2,0.7108271157795845
191,random,uniform,192761,100,236,0.03,3,0.45,0.1,50,1.5,0.05,1,0.7812600421799003
192,random,uniform,193770,100,219,0.03,3,0.45,0.1,50,1.5,0.05,1,0.8040027547682594
193,random,uniform,194779,100,226,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8258157053962824
194,random,uniform,195788,100,253,0.03,3,0.45,0.1,50,1.5,0.03,0,0.8413580318615054
195,random,uniform,196797,100,226,0.03,3,0.45,0.1,50,1.5,0.07,2,0.7563956794609907
