run_id,kind,weight_type,targeting,rng_seed,n,edges,seed_frac,seed_count,theta_mean,theta_sd,max_steps,final_adoption,steps_to_converge,xi_d_1,xi_a_1.5
20884,small_world,uniform,degree,21071998,100,300,0.03,3,0.3,0.15,50,0.94,13,0.0,0.0
20885,small_world,uniform,degree,21073007,100,300,0.03,3,0.3,0.15,50,1.0,17,0.0,0.0
20886,small_world,uniform,degree,21074016,100,300,0.03,3,0.3,0.15,50,1.0,11,0.0,0.0
20887,small_world,uniform,degree,21075025,100,300,0.03,3,0.3,0.15,50,0.87,9,0.04,0.021621679428308966
20888,small_world,uniform,degree,21076034,100,300,0.03,3,0.3,0.15,50,0.28,9,0.52,0.5410884725360564
20889,small_world,uniform,degree,21077043,100,300,0.03,3,0.3,0.15,50,1.0,12,0.0,0.0
20890,small_world,uniform,degree,21078052,100,300,0.03,3,0.3,0.15,50,0.18,9,0.5,0.599560631435066
20891,small_world,uniform,degree,21079061,100,300,0.03,3,0.3,0.15,50,0.83,10,0.06,0.05909317681952807
20892,small_world,uniform,degree,21080070,100,300,0.03,3,0.3,0.15,50,1.0,13,0.0,0.0
20893,small_world,uniform,degree,21081079,100,300,0.03,3,0.3,0.15,50,0.6,10,0.23,0.22300138390673066
20894,small_world,uniform,degree,21082088,100,300,0.03,3,0.3,0.15,50,1.0,10,0.0,0.0
20895,small_world,uniform,degree,21083097,100,300,0.03,3,0.3,0.15,50,1.0,14,0.0,0.0
20896,small_world,uniform,degree,21084106,100,300,0.03,3,0.3,0.15,50,0.15,8,0.59,0.659506899231694
20897,small_world,uniform,degree,21085115,100,300,0.03,3,0.3,0.15,50,1.0,25,0.0,0.0
20898,small_world,uniform,degree,21086124,100,300,0.03,3,0.3,0.15,50,1.0,29,0.0,0.0
20899,small_world,uniform,degree,21087133,100,300,0.03,3,0.3,0.15,50,1.0,15,0.0,0.0
20900,small_world,uniform,degree,21088142,100,300,0.03,3,0.3,0.15,50,1.0,17,0.0,0.0
20901,small_world,uniform,degree,21089151,100,300,0.03,3,0.3,0.15,50,1.0,17,0.0,0.0
20902,small_world,uniform,degree,21090160,100,300,0.03,3,0.3,0.15,50,1.0,13,0.0,0.0
20903,small_world,uniform,degree,21091169,100,300,0.03,3,0.3,0.15,50,1.0,23,0.0,0.0
